roundid,holeid,hnum,shotid,stroke,startpos,holedis,shots_to_hole_out,holedis_yards
88090,1581137,9,5082961,3,4,35,2,11.666666666666666
88090,1581137,9,5082962,4,4,2,1,0.6666666666666666
88090,1581138,10,5082966,4,4,2,1,0.6666666666666666
88090,1581139,11,5082969,3,4,12,2,4.0
88090,1581139,11,5082970,4,4,1,1,0.3333333333333333
88090,1581140,12,5082973,3,4,12,2,4.0
88090,1581140,12,5082974,4,4,1,1,0.3333333333333333
88090,1581141,13,5082977,3,4,2,1,0.6666666666666666
88090,1581142,14,5082980,3,4,10,2,3.3333333333333335
88090,1581142,14,5082981,4,4,1,1,0.3333333333333333
88090,1581143,15,5082984,3,4,2,1,0.6666666666666666
88090,1581144,16,5082987,3,4,12,1,4.0
88090,1581145,17,5082989,2,4,30,2,10.0
88090,1581145,17,5082990,3,4,2,1,0.6666666666666666
88090,1581146,18,5082994,4,4,10,2,3.3333333333333335
88090,1581146,18,5082995,5,4,1,1,0.3333333333333333
88132,1581885,1,5085807,4,4,9,1,3.0
88132,1581886,2,5085811,4,4,10,2,3.3333333333333335
88132,1581886,2,5085812,5,4,3,1,1.0
88132,1581887,3,5085815,3,4,2,1,0.6666666666666666
88132,1581888,4,5085818,3,4,2,1,0.6666666666666666
88132,1581889,5,5085822,4,4,2,1,0.6666666666666666
88132,1581890,6,5085826,4,4,6,2,2.0
88132,1581890,6,5085827,5,4,1,1,0.3333333333333333
88132,1581891,7,5085831,4,4,25,2,8.333333333333334
88132,1581891,7,5085832,5,4,6,1,2.0
88132,1581892,8,5085836,4,4,3,1,1.0
88132,1581893,9,5085840,4,4,6,1,2.0
88132,1581894,10,5085843,3,4,30,2,10.0
88132,1581894,10,5085844,4,4,2,1,0.6666666666666666
88132,1581895,11,5085847,3,4,12,2,4.0
88132,1581895,11,5085848,4,4,1,1,0.3333333333333333
88132,1581896,12,5085851,3,4,25,2,8.333333333333334
88132,1581896,12,5085852,4,4,2,1,0.6666666666666666
88132,1581897,13,5085854,2,4,28,2,9.333333333333334
88132,1581897,13,5085855,3,4,6,1,2.0
88132,1581898,14,5085859,4,4,2,1,0.6666666666666666
88132,1581899,15,5085862,3,4,1,1,0.3333333333333333
88133,1581903,1,5085867,5,4,4,1,1.3333333333333333
88133,1581904,2,5085871,4,4,2,1,0.6666666666666666
88133,1581905,3,5085874,3,4,18,2,6.0
88133,1581905,3,5085875,4,4,2,1,0.6666666666666666
88133,1581906,4,5085877,2,4,15,1,5.0
88133,1581907,5,5085881,4,4,4,1,1.3333333333333333
88133,1581908,6,5085885,4,4,1,1,0.3333333333333333
88133,1581909,7,5085890,5,4,2,1,0.6666666666666666
88133,1581910,8,5085895,5,4,1,1,0.3333333333333333
88133,1581911,9,5085899,4,4,6,1,2.0
88133,1581912,10,5085903,4,4,6,2,2.0
88133,1581912,10,5085904,5,4,1,1,0.3333333333333333
88133,1581913,11,5085908,4,4,6,1,2.0
88133,1581914,12,5085912,4,4,6,2,2.0
88133,1581914,12,5085913,5,4,1,1,0.3333333333333333
88133,1581915,13,5085915,2,4,35,3,11.666666666666666
88133,1581915,13,5085916,3,4,6,2,2.0
88133,1581915,13,5085917,4,4,1,1,0.3333333333333333
88133,1581916,14,5085922,5,4,5,1,1.6666666666666667
88133,1581917,15,5085924,2,4,35,2,11.666666666666666
88133,1581917,15,5085925,3,4,1,1,0.3333333333333333
88133,1581918,16,5085929,4,4,1,1,0.3333333333333333
88133,1581919,17,5085932,3,4,6,1,2.0
88133,1581920,18,5085935,3,4,45,2,15.0
88133,1581920,18,5085936,4,4,3,1,1.0
88432,1587285,1,5104486,4,4,12,2,4.0
88432,1587285,1,5104487,5,4,1,1,0.3333333333333333
88432,1587286,2,5104489,2,4,45,2,15.0
88432,1587286,2,5104490,3,4,4,1,1.3333333333333333
88432,1587287,3,5104494,4,4,9,1,3.0
88432,1587288,4,5104497,3,4,35,2,11.666666666666666
88432,1587288,4,5104498,4,4,3,1,1.0
88432,1587289,5,5104502,4,4,4,1,1.3333333333333333
88432,1587290,6,5104504,2,4,25,2,8.333333333333334
88432,1587290,6,5104505,3,4,3,1,1.0
88432,1587291,7,5104508,3,4,12,2,4.0
88432,1587291,7,5104509,4,4,1,1,0.3333333333333333
88432,1587292,8,5104512,3,4,22,2,7.333333333333333
88432,1587292,8,5104513,4,4,2,1,0.6666666666666666
88432,1587293,9,5104517,4,4,24,2,8.0
88432,1587293,9,5104518,5,4,3,1,1.0
88432,1587294,10,5104521,3,4,15,2,5.0
88432,1587294,10,5104522,4,4,1,1,0.3333333333333333
88432,1587295,11,5104524,2,4,5,1,1.6666666666666667
88432,1587296,12,5104528,4,4,8,2,2.6666666666666665
88432,1587296,12,5104529,5,4,1,1,0.3333333333333333
88432,1587297,13,5104533,4,4,5,1,1.6666666666666667
88432,1587298,14,5104537,4,4,14,2,4.666666666666667
88432,1587298,14,5104538,5,4,1,1,0.3333333333333333
88432,1587299,15,5104541,3,4,8,2,2.6666666666666665
88432,1587299,15,5104542,4,4,1,1,0.3333333333333333
88432,1587300,16,5104545,3,4,12,1,4.0
88432,1587301,17,5104548,3,4,7,1,2.3333333333333335
88432,1587302,18,5104552,4,4,12,1,4.0
88441,1587447,1,5105023,4,4,10,2,3.3333333333333335
88441,1587447,1,5105024,5,4,1,1,0.3333333333333333
88441,1587448,2,5105027,3,4,12,2,4.0
88441,1587448,2,5105028,4,4,1,1,0.3333333333333333
88441,1587449,3,5105031,3,4,8,2,2.6666666666666665
88441,1587449,3,5105032,4,4,1,1,0.3333333333333333
88441,1587450,4,5105034,2,4,40,2,13.333333333333334
88441,1587450,4,5105035,3,4,1,1,0.3333333333333333
88441,1587451,5,5105038,3,4,12,2,4.0
88441,1587451,5,5105039,4,4,1,1,0.3333333333333333
88441,1587452,6,5105043,4,4,6,2,2.0
88441,1587452,6,5105044,5,4,1,1,0.3333333333333333
88441,1587453,7,5105048,4,4,25,2,8.333333333333334
88441,1587453,7,5105049,5,4,2,1,0.6666666666666666
88441,1587454,8,5105054,5,4,5,2,1.6666666666666667
88441,1587454,8,5105055,6,4,1,1,0.3333333333333333
88441,1587455,9,5105059,4,4,15,2,5.0
88441,1587455,9,5105060,5,4,1,1,0.3333333333333333
88547,1589364,10,5111000,5,4,12,2,4.0
88547,1589364,10,5111001,6,4,1,1,0.3333333333333333
88547,1589365,11,5111005,4,4,8,1,2.6666666666666665
88547,1589366,12,5111008,3,4,18,2,6.0
88547,1589366,12,5111009,4,4,2,1,0.6666666666666666
88547,1589367,13,5111012,3,4,5,1,1.6666666666666667
88547,1589368,14,5111015,3,4,15,2,5.0
88547,1589368,14,5111016,4,4,2,1,0.6666666666666666
88547,1589369,15,5111019,3,4,2,1,0.6666666666666666
88547,1589370,16,5111022,3,4,15,2,5.0
88547,1589370,16,5111023,4,4,1,1,0.3333333333333333
88547,1589371,17,5111026,3,4,4,1,1.3333333333333333
88547,1589372,18,5111029,3,4,50,2,16.666666666666668
88547,1589372,18,5111030,4,4,2,1,0.6666666666666666
88992,1597365,1,5137967,4,4,7,1,2.3333333333333335
88992,1597366,2,5137970,3,4,10,2,3.3333333333333335
88992,1597366,2,5137971,4,4,1,1,0.3333333333333333
88992,1597367,3,5137975,4,4,12,2,4.0
88992,1597367,3,5137976,5,4,2,1,0.6666666666666666
88992,1597368,4,5137980,4,4,3,1,1.0
88992,1597369,5,5137984,4,4,8,1,2.6666666666666665
88992,1597370,6,5137986,2,4,18,2,6.0
88992,1597370,6,5137987,3,4,1,1,0.3333333333333333
88992,1597371,7,5137991,4,4,18,2,6.0
88992,1597371,7,5137992,5,4,1,1,0.3333333333333333
88992,1597372,8,5137995,3,4,45,2,15.0
88992,1597372,8,5137996,4,4,5,1,1.6666666666666667
88992,1597373,9,5138000,4,4,14,2,4.666666666666667
88992,1597373,9,5138001,5,4,1,1,0.3333333333333333
88622,1590705,1,5115126,4,4,11,2,3.6666666666666665
88622,1590705,1,5115127,5,4,1,1,0.3333333333333333
88622,1590709,5,5115131,4,4,4,2,1.3333333333333333
88622,1590709,5,5115132,5,4,1,1,0.3333333333333333
88622,1590710,6,5115136,4,4,1,1,0.3333333333333333
88622,1590711,7,5115140,4,4,25,2,8.333333333333334
88622,1590711,7,5115141,5,4,4,1,1.3333333333333333
88622,1590712,8,5115145,4,4,20,2,6.666666666666667
88622,1590712,8,5115146,5,4,2,1,0.6666666666666666
88622,1590713,9,5115150,4,4,1,1,0.3333333333333333
88674,1591641,1,5118180,4,4,2,1,0.6666666666666666
88674,1591642,2,5118183,3,4,30,2,10.0
88674,1591642,2,5118184,4,4,1,1,0.3333333333333333
88674,1591643,3,5118187,3,4,10,2,3.3333333333333335
88674,1591643,3,5118188,4,4,1,1,0.3333333333333333
88674,1591644,4,5118190,2,4,36,2,12.0
88674,1591644,4,5118191,3,4,1,1,0.3333333333333333
88674,1591646,6,5118199,3,4,6,1,2.0
88674,1591647,7,5118202,3,4,4,1,1.3333333333333333
88674,1591648,8,5118205,3,4,18,2,6.0
88674,1591648,8,5118206,4,4,3,1,1.0
88674,1591649,9,5118210,4,4,8,2,2.6666666666666665
88674,1591649,9,5118211,5,4,1,1,0.3333333333333333
88674,1591651,11,5118217,2,4,19,2,6.333333333333333
88674,1591651,11,5118218,3,4,1,1,0.3333333333333333
88674,1591652,12,5118222,4,4,4,2,1.3333333333333333
88674,1591652,12,5118223,5,4,1,1,0.3333333333333333
88674,1591653,13,5118226,3,4,4,1,1.3333333333333333
88674,1591654,14,5118230,4,4,5,2,1.6666666666666667
88674,1591654,14,5118231,5,4,1,1,0.3333333333333333
88674,1591655,15,5118235,4,4,4,2,1.3333333333333333
88674,1591655,15,5118236,5,4,1,1,0.3333333333333333
88674,1591656,16,5118239,3,4,1,1,0.3333333333333333
88674,1591658,18,5118245,3,4,30,2,10.0
88674,1591658,18,5118246,4,4,2,1,0.6666666666666666
90320,1621269,1,5217071,4,4,4,2,1.3333333333333333
90320,1621269,1,5217072,5,4,1,1,0.3333333333333333
90320,1621271,3,5217079,3,4,4,1,1.3333333333333333
90320,1621272,4,5217082,3,4,7,2,2.3333333333333335
90320,1621272,4,5217083,4,4,1,1,0.3333333333333333
90320,1621274,6,5217090,3,4,3,1,1.0
90320,1621276,8,5217097,4,4,8,2,2.6666666666666665
90320,1621276,8,5217098,5,4,3,1,1.0
90320,1621277,9,5217101,3,4,7,2,2.3333333333333335
90320,1621277,9,5217102,4,4,1,1,0.3333333333333333
90320,1621278,10,5217105,3,4,30,2,10.0
90320,1621278,10,5217106,4,4,3,1,1.0
90320,1621280,12,5217112,3,4,25,2,8.333333333333334
90320,1621280,12,5217113,4,4,1,1,0.3333333333333333
90320,1621281,13,5217116,3,4,27,2,9.0
90320,1621281,13,5217117,4,4,1,1,0.3333333333333333
90320,1621282,14,5217123,6,4,3,1,1.0
90320,1621283,15,5217127,4,4,1,1,0.3333333333333333
90320,1621284,16,5217130,3,4,4,2,1.3333333333333333
90320,1621284,16,5217131,4,4,1,1,0.3333333333333333
90320,1621285,17,5217135,4,4,3,1,1.0
90320,1621286,18,5217138,3,4,25,2,8.333333333333334
90320,1621286,18,5217139,4,4,2,1,0.6666666666666666
88803,1593963,1,5125995,4,4,35,2,11.666666666666666
88803,1593963,1,5125996,5,4,2,1,0.6666666666666666
88803,1593964,2,5126000,4,4,2,1,0.6666666666666666
88803,1593965,3,5126003,3,4,3,2,1.0
88803,1593965,3,5126004,4,4,3,1,1.0
88803,1593966,4,5126006,2,4,22,2,7.333333333333333
88803,1593966,4,5126007,3,4,2,1,0.6666666666666666
88803,1593967,5,5126011,4,4,10,2,3.3333333333333335
